Component,Price,Shop
UNO R3,10.00,Banggood
CNC Shield,4.00,Banggood
A4988 Stepper Motor Drivers x2,2.00,Banggood
Nema17 Stepper Motors x2,15.00,Banggood
2004 LCD Smart Display Controller ,14.00,Amazon
